num_enhancers,r,g,AC,RC,ma,mr,noise
2,0.7,0.3,1,5,3,5,0.2877676632
2,0.3,0.5,1,3,5,5,0.3122776068
2,0.1,0.1,1,7,9,5,0.2907044135
5,0.68791,0.43997,4.48,3.85,3.64,2,0.5069843515
2,0.7,0.9,1,9,1,5,0.345698143
2,0.3,0.1,1,7,7,5,0.2776586724
20,0.80209,0.37987,3.63,3.81,1.76,3,0.3948859459
2,0.5,0.5,1,1,5,5,0.2913784419
2,0.1,0.1,1,1,3,5,0.3025593696
2,0.1,0.9,1,3,3,5,0.3473211054
2,0.7,0.5,1,5,9,5,0.2827375529
2,0.9,0.1,1,7,3,5,0.2746161706
2,0.1,0.9,1,7,1,5,0.3159380909
2,0.9,0.1,1,7,1,5,0.2843191023
2,0.9,0.9,1,9,5,5,0.2990034595
2,0.9,0.1,1,1,1,5,0.2650508333
2,0.9,0.7,1,7,7,5,0.2884752408
2,0.3,0.3,1,5,7,5,0.2931288657
2,0.1,0.1,1,9,3,5,0.311855734
2,0.9,0.5,1,5,3,5,0.2931128973
2,0.1,0.9,1,3,5,5,0.3530970692
2,0.1,0.7,1,7,5,5,0.3532445857
2,0.5,0.5,1,9,9,5,0.2913047641
2,0.5,0.5,1,5,1,5,0.3379934018
2,0.1,0.1,1,1,3,5,0.3027840259
10,0.6,0.1,6,6,6,5,0.4652824123
20,0.75289,0.82534,6.18,8.98,9.33,9.07,0.644958425
2,0.5,0.7,1,3,3,5,0.3181684461
2,0.3,0.5,1,3,3,5,0.3264070569
2,0.9,0.3,1,7,7,5,0.2781023964
10,0.4,0.2,4,4,2,5,0.5105080148
5,0.2,0.4,4,2,4,5,0.5067301926
2,0.1,0.1,1,3,5,5,0.2964876775
2,0.9,0.7,1,7,3,5,0.3030565913
2,0.3,0.5,1,7,3,5,0.3273550235
5,0.6,0.6,1,1,6,5,0.2081423103
2,0.1,0.5,1,3,7,5,0.3425754697
2,0.5,0.3,1,5,5,5,0.2862042517
2,0.7,0.7,1,9,7,5,0.2945641502
2,0.1,0.5,1,9,5,5,0.3494551904
2,0.9,0.3,1,3,3,5,0.2789429735
2,0.1,0.7,1,3,9,5,0.346741423
2,0.9,0.7,1,7,7,5,0.289802531
15,0.2,0.4,2,2,4,5,0.6224244585
2,0.5,0.9,1,7,9,5,0.3052539741
2,0.7,0.5,1,3,3,5,0.2965954944
2,0.1,0.9,1,1,1,5,0.3182637823
2,0.5,0.3,1,7,9,5,0.2828493223
2,0.3,0.1,1,9,3,5,0.2868245359
10,0.6,0.6,1,1,6,5,0.157244002
2,0.9,0.9,1,3,7,5,0.2899929797
2,0.3,0.5,1,1,5,5,0.3088611664
2,0.3,0.1,1,1,5,5,0.2658993657
2,0.7,0.5,1,1,5,5,0.2825995053
2,0.1,0.1,1,1,3,5,0.3026974186
15,0.1,0.1,6,1,6,5,0.1531767721
10,0.2,0.2,2,4,2,5,0.6103334282
2,0.7,0.7,1,9,1,5,0.3392649371
2,0.3,0.9,1,9,5,5,0.3354293573
21,0.5,0.375,10,2.8,5.5,6,0.6298408535
2,0.1,0.9,1,3,9,5,0.3514979569
15,0.92417,0.70926,10.84,7.45,3.83,8.74,0.7427041555
2,0.7,0.1,1,5,5,5,0.270798317
2,0.7,0.5,1,5,3,5,0.2980659422
2,0.7,0.3,1,1,9,5,0.2633656409
2,0.7,0.5,1,1,3,5,0.2914546068
2,0.7,0.9,1,5,3,5,0.317116319
2,0.3,0.3,1,7,5,5,0.298745386
2,0.9,0.5,1,1,3,5,0.2832314598
2,0.9,0.1,1,3,3,5,0.2654573197
2,0.5,0.5,1,9,3,5,0.311317667
2,0.7,0.9,1,9,1,5,0.3453822841
15,0.1,0.1,1,6,6,5,0.3168981273
2,0.5,0.7,1,1,5,5,0.3024924739
2,0.3,0.5,1,3,7,5,0.3051624231
2,0.1,0.7,1,3,3,5,0.3520959419
15,0.4,0.4,4,4,4,5,0.6663926231
2,0.3,0.9,1,9,1,5,0.3518575269
2,0.9,0.1,1,3,9,5,0.261769678
2,0.7,0.5,1,3,3,5,0.2963602966
2,0.7,0.7,1,7,7,5,0.2940659031
2,0.3,0.9,1,3,1,5,0.3524107975
2,0.7,0.5,1,3,3,5,0.2968361965
15,0.7821,0.12351,2.8,7.62,3.08,7.85,0.397841314
10,0.10478,0.38803,10.28,2.66,10,3.3,0.8064653254
5,0.4,0.2,4,4,2,5,0.446086528
2,0.9,0.5,1,9,5,5,0.2889127803
15,0.8427,0.20999,7.53,1.86,10.24,8.53,0.1139871225
2,0.9,0.7,1,5,3,5,0.3016796692
2,0.5,0.5,1,7,3,5,0.3108472798
5,0.49277,0.80035,10.64,4.17,4.86,4.66,0.5827015766
21,2,2,0.2,1,0.6,0.6,0.577517404
2,0.3,0.9,1,3,1,5,0.3525970698
21,2,10,0.2,0.2,0.6,0.6,0.4480951179
2,0.3,0.5,1,5,5,5,0.3146861665
2,0.5,0.3,1,9,1,5,0.3236365978
2,0.3,0.1,1,7,7,5,0.2780034701
2,0.9,0.9,1,7,3,5,0.3104072912
5,0.4,0.2,2,4,2,5,0.4009431736
2,0.7,0.3,1,7,7,5,0.2807368912
2,0.5,0.3,1,7,7,5,0.2848836376
2,0.3,0.3,1,7,3,5,0.3101342129
21,2,6,0.2,1,0.6,1,0.49323674
20,0.13683,0.87439,4.46,1.43,4.26,2,0.5260176667
5,0.4,0.2,2,2,2,5,0.2983807705
2,0.5,0.9,1,1,5,5,0.3111509913
2,0.7,0.9,1,9,5,5,0.3077093556
21,0.5,0.375,1,2.8,5.5,6,0.2707429622
2,0.5,0.5,1,9,1,5,0.3390466075
15,0.71737,0.41373,2.82,2.48,1.59,2,0.1695048367
2,0.3,0.5,1,3,5,5,0.3124733266
2,0.1,0.3,1,5,5,5,0.335300802
2,0.7,0.9,1,7,5,5,0.306144252
10,0.88117,0.37355,3.52,8.25,4.83,1.55,0.7147479466
20,0.49559,0.20835,2.24,9.66,3.23,10.96,0.4835275638
2,0.7,0.7,1,5,3,5,0.3090447811
2,0.5,0.1,1,3,5,5,0.2678796758
2,0.3,0.5,1,1,5,5,0.3079441995
10,0.57587,0.8003,2.72,5.79,4.02,3.87,0.6456973557
2,0.9,0.3,1,3,7,5,0.2698963907
2,0.5,0.1,1,7,3,5,0.2796106054
21,2,2,0.2,1,1,0.6,0.5651140058
2,0.3,0.5,1,9,3,5,0.3277066006
2,0.7,0.7,1,3,9,5,0.2870808504
2,0.7,0.9,1,5,3,5,0.317849116
2,0.7,0.9,1,7,9,5,0.2959444991
2,0.9,0.9,1,1,5,5,0.2897867868
2,0.3,0.1,1,9,7,5,0.2778730134
2,0.7,0.1,1,9,1,5,0.2890855914
2,0.7,0.5,1,9,5,5,0.292938157
2,0.9,0.3,1,5,5,5,0.2770013788
21,2,6,0.2,0.6,1,0.6,0.4978419513
2,0.9241,0.66465,6.8,6.45,5.78,6.86,0.3288648891
2,0.1,0.9,1,3,5,5,0.3532008356
10,0.84003,0.21095,3.57,3.12,4.83,10.46,0.1906117785
21,2,2,0.2,0.6,1,1,0.5656615192
2,0.3,0.3,1,3,7,5,0.2903453954
2,0.7,0.1,1,9,5,5,0.2770852441
5,0.6,0.6,6,1,1,5,0.4680840475
21,0.5,0.375,2,2.8,5.5,2,0.529758824
2,0.1,0.1,1,7,9,5,0.290721031
10,0.4,0.2,2,2,2,5,0.2087521954
2,0.9,0.9,1,3,7,5,0.2907727385
2,0.1,0.7,1,7,3,5,0.351666079
2,0.9,0.3,1,7,3,5,0.2842750666
2,0.5,0.7,1,7,1,5,0.3468727975
2,0.5,0.1,1,3,3,5,0.2704895907
2,0.7,0.9,1,9,1,5,0.3458209844
2,0.7,0.1,1,3,3,5,0.26756553
2,0.1,0.7,1,7,3,5,0.3512943452
5,0.25484,0.31355,10.05,5.62,1.49,4.53,0.5442080417
2,0.7,0.5,1,5,5,5,0.2897124178
10,0.6,0.1,1,6,1,5,0.267697475
21,0.5,0.375,3,2.8,5.5,2,0.606630329
2,0.5,0.1,1,9,5,5,0.2790259196
2,0.7,0.3,1,7,5,5,0.2840935163
10,0.1,0.1,6,6,1,5,0.58389592
15,0.1,0.1,6,6,1,5,0.5880884712
2,0.9,0.3,1,3,5,5,0.2738412512
2,0.6197,0.86219,4.02,2.66,9.08,9.15,0.311205831
2,0.1,0.5,1,5,9,5,0.3378925496
2,0.5,0.9,1,7,1,5,0.3517314935
2,0.3,0.9,1,7,5,5,0.3344622121
5,0.14924,0.25784,9.97,4.79,7.02,1.18,0.6070256201
2,0.3,0.5,1,5,5,5,0.3143273902
2,0.7,0.7,1,3,7,5,0.2909754435
2,0.7,0.1,1,1,5,5,0.2563795365
2,0.5,0.1,1,9,3,5,0.2811668525
2,0.3,0.7,1,3,1,5,0.3534674264
5,0.96163,0.8238,6.73,5.32,7.4,10.51,0.427968389
2,0.77215,0.59655,2.1,2.17,2.73,4,0.3153906861
2,0.82521,0.68799,4.18,2.65,3.07,4,0.3275291614
2,0.5,0.9,1,3,1,5,0.3514383809
2,0.1,0.9,1,3,9,5,0.3515780168
2,0.7,0.5,1,1,5,5,0.2810613022
2,0.9,0.5,1,5,1,5,0.3178098732
2,0.9,0.7,1,9,5,5,0.2933137544
2,0.1,0.3,1,9,1,5,0.3521147326
2,0.5,0.5,1,9,5,5,0.3003955548
2,0.50898,0.2309,3.95,4.47,6.93,1.04,0.3337276848
21,2,10,0.2,0.2,1,0.6,0.4508740521
2,0.3,0.3,1,9,9,5,0.2930094811
15,0.61853,0.6136,2.11,6.65,4.53,6.77,0.4881124154
2,0.9,0.5,1,1,1,5,0.3109404442
2,0.5,0.9,1,3,5,5,0.3149009286
2,0.7,0.7,1,3,7,5,0.2912544023
2,0.9,0.5,1,5,5,5,0.2853203201
2,0.3,0.5,1,7,7,5,0.3075654078
10,0.1,0.6,1,1,6,5,0.5959354161
2,0.1,0.9,1,7,9,5,0.351855048
2,0.3,0.5,1,5,1,5,0.3502716139
2,0.7,0.3,1,7,7,5,0.2813333723
2,0.5,0.9,1,7,5,5,0.3159015575
2,0.9,0.9,1,9,1,5,0.3390963553
2,0.9,0.1,1,9,5,5,0.2760560758
21,2,2,0.2,1,0.6,0.2,0.5657451852
2,0.3,0.9,1,5,1,5,0.3522474748
2,0.9,0.1,1,3,1,5,0.2736019802
2,0.1,0.9,1,1,7,5,0.3531694673
2,0.9,0.3,1,9,5,5,0.281716276
2,0.1,0.7,1,5,7,5,0.3508398112
2,0.5,0.7,1,7,3,5,0.3231801771
15,0.4,0.2,4,2,4,5,0.2768684828
2,0.1,0.7,1,1,5,5,0.3530080818
2,0.1,0.9,1,1,1,5,0.3171985699
5,0.34205,0.55125,2.04,9.49,6.34,8.95,0.3892646662
2,0.7,0.9,1,1,5,5,0.2982414201
2,0.1,0.9,1,7,1,5,0.3145686364
2,0.30396,0.59389,7.75,6.13,4.88,3.14,0.3531076628
2,0.5,0.9,1,9,1,5,0.3514863778
2,0.75566,0.35999,2.57,3.82,9.66,7.7,0.2918359968
20,0.72084,0.56523,2.37,2.32,6.31,4.84,0.3676104967
2,0.3,0.1,1,3,9,5,0.2692039706
2,0.5,0.3,1,7,5,5,0.2897108697
2,0.7,0.3,1,1,5,5,0.2710006304
2,0.1,0.5,1,1,5,5,0.3473286675
2,0.5,0.7,1,7,9,5,0.2980226272
2,0.1,0.9,1,3,1,5,0.317460819
2,0.7,0.5,1,3,3,5,0.2973487576
2,0.7,0.7,1,9,5,5,0.299633328
2,0.3,0.7,1,9,3,5,0.3389319849
2,0.5,0.1,1,5,7,5,0.2715772834
2,0.1,0.5,1,3,3,5,0.353215546
2,0.7,0.9,1,7,1,5,0.3455706322
10,0.2,0.2,2,2,4,5,0.3040890965
10,0.85789,0.47623,6.9,10.2,8.09,2.65,0.7543735063
5,0.1,0.6,6,1,1,5,0.4319053708
2,0.5,0.3,1,5,1,5,0.3214661002
2,0.1,0.3,1,5,1,5,0.3521166524
2,0.1,0.7,1,1,7,5,0.350021898
2,0.3,0.1,1,5,3,5,0.2827428444
2,0.3,0.1,1,9,7,5,0.2793399587
2,0.3,0.3,1,9,5,5,0.3014054536
2,0.3,0.9,1,3,3,5,0.3450471244
2,0.3,0.5,1,9,9,5,0.3046407394
2,0.7,0.5,1,7,3,5,0.3003270335
25,0.8797,0.78296,1.84,10.31,2.36,2.14,0.7304219174
2,0.5,0.1,1,1,9,5,0.2560370078
2,0.3,0.1,1,5,9,5,0.2747233025
2,0.3,0.5,1,5,5,5,0.3148135585
2,0.9,0.9,1,7,1,5,0.3389122477
2,0.5,0.1,1,1,5,5,0.2582946957
2,0.1,0.9,1,5,1,5,0.3156568622
2,0.9,0.7,1,7,9,5,0.2861788963
2,0.9,0.9,1,5,5,5,0.298569576
2,0.7,0.3,1,9,5,5,0.284449702
10,0.16177,0.36606,3.98,3.05,4.45,3,0.7370970505
2,0.9,0.7,1,5,3,5,0.301639286
2,0.7,0.1,1,5,1,5,0.2831503321
15,0.99662,0.70409,4,1.61,1.01,4,0.1783670303
2,0.5,0.1,1,1,3,5,0.2620962398
2,0.1,0.1,1,5,1,5,0.337576058
2,0.5,0.9,1,5,3,5,0.3292221085
2,0.5,0.5,1,7,3,5,0.310376573
2,0.5,0.3,1,9,3,5,0.2987787351
2,0.3,0.5,1,7,7,5,0.3068737856
25,0.15992,0.67224,1.34,2.77,2.5,4,1.312146797
10,0.26184,0.1256,5.32,9.9,4.18,3.3,0.7110915287
2,0.5,0.5,1,7,9,5,0.2905560801
2,0.9,0.3,1,1,1,5,0.2906548089
2,0.9,0.9,1,7,1,5,0.3392672271
2,0.3,0.9,1,7,3,5,0.3457159739
2,0.40646,0.33373,10.98,1.95,4.55,3.43,0.3320825977
5,0.6,0.1,6,6,1,5,0.3781388053
2,0.3,0.5,1,9,5,5,0.3144536506
2,0.5,0.5,1,7,9,5,0.2911482726
2,0.3,0.5,1,9,7,5,0.3086539248
2,0.7,0.1,1,3,1,5,0.2794687273
5,0.67117,0.13019,4.02,5.04,7.59,7.73,0.3209555801
2,0.3,0.7,1,5,9,5,0.3129137236
21,0.1,1,1,100,1,100,0.3449508441
2,0.19534,0.24145,1.32,4.96,1.86,4,0.3373604394
2,0.3,0.1,1,7,1,5,0.3037162012
2,0.1,0.9,1,9,1,5,0.3136120705
5,0.37592,0.4812,2.69,7.9,1.85,3.09,0.5567685302
10,0.68881,0.33615,7.14,5.92,5,8.66,0.524506188
2,0.9,0.5,1,9,3,5,0.295265207
2,0.7,0.7,1,1,3,5,0.3033576343
20,0.7158,0.2945,1.66,4.09,4.61,3,0.1294682703
2,0.3,0.1,1,3,7,5,0.2700687521
2,0.33833,0.59971,5.27,9.71,10.48,2.81,0.3489839604
2,0.9,0.3,1,3,1,5,0.2986010875
2,0.5,0.3,1,3,5,5,0.2844816224
2,0.5,0.9,1,5,9,5,0.3040195505
10,0.48852,0.67106,1.35,3.64,1.5,1,0.7348721348
2,0.1,0.1,1,1,7,5,0.2854167105
15,0.3985,0.7484,9.12,9.63,2.22,4.01,0.6393043287
20,0.64559,0.18428,6.2,1.84,5.5,5.51,0.1166904869
2,0.5,0.7,1,1,9,5,0.2895307909
2,0.7,0.3,1,1,9,5,0.2644292217
15,0.38116,0.27725,3.37,10.22,10.4,4.73,0.5673457223
2,0.3,0.9,1,1,7,5,0.3228046468
2,0.9,0.3,1,7,1,5,0.3052851985
5,0.4,0.4,2,4,4,5,0.4247245595
15,0.2,0.2,2,2,2,5,0.5603134351
21,0.1,0.1,1,100,10,10,0.4898437624
2,0.1,0.7,1,5,7,5,0.3507622184
2,0.7,0.1,1,3,3,5,0.2667621029
15,0.33157,0.7476,2.02,2.26,1.08,1,0.5486415569
2,0.9,0.9,1,5,5,5,0.2988021552
2,0.5,0.7,1,7,7,5,0.3042070041
2,0.7,0.1,1,7,9,5,0.2730986577
21,0.1,0.1,1,100,1,1,0.5961243068
21,2,6,0.2,0.6,1,0.2,0.4855918148
2,0.1,0.1,1,3,9,5,0.2868587431
2,0.9,0.9,1,3,3,5,0.3071910101
2,0.1,0.5,1,1,7,5,0.3412912814
10,0.49089,0.51058,10.7,1.83,7.96,2.62,0.5973702552
5,0.2,0.2,2,4,4,5,0.4117587604
2,0.5,0.3,1,9,1,5,0.3235655421
25,0.92828,0.86795,1.94,4.52,3.63,3,0.2345750119
21,0.5,0.375,7,2.8,5.5,7,0.5341047164
10,0.4,0.4,2,2,4,5,0.2986790554
2,0.5,0.5,1,9,1,5,0.3395102667
2,0.1,0.3,1,7,3,5,0.3457825957
2,0.9,0.5,1,3,9,5,0.2763410369
2,0.9,0.9,1,9,7,5,0.2937329011
2,0.7,0.1,1,9,1,5,0.2890864223
2,0.9,0.3,1,3,5,5,0.2732148437
21,2,2,0.2,1,0.2,1,0.5932592282
2,0.7,0.7,1,1,5,5,0.2902650453
2,0.9,0.5,1,3,1,5,0.3168195454
2,0.1,0.9,1,3,3,5,0.3471359364
10,0.2,0.2,4,4,4,5,0.562303828
2,0.5,0.1,1,3,7,5,0.2673788669
10,0.32518,0.42319,1.17,3.88,4.87,2,0.4206894596
25,0.93599,0.59575,3.16,4.4,9.18,4.44,0.4701186726
2,0.5,0.7,1,3,7,5,0.2991817749
2,0.9,0.5,1,5,1,5,0.3185083908
2,0.9,0.1,1,7,5,5,0.2747159768
2,0.5,0.3,1,7,9,5,0.2833052828
15,0.4,0.2,4,2,4,5,0.2562917617
25,0.10616,0.1796,9.56,9.57,5.71,3.37,0.9355696947
2,0.3,0.5,1,1,7,5,0.3024580082
2,0.9,0.5,1,3,3,5,0.2902838154
2,0.5,0.1,1,3,3,5,0.2717211243
2,0.1,0.3,1,9,7,5,0.3259201146
2,0.1,0.5,1,1,9,5,0.3364976014
2,0.9,0.5,1,1,5,5,0.274755787
2,0.1,0.3,1,9,3,5,0.3460503398
2,0.7,0.5,1,7,1,5,0.3278592997
2,0.1,0.5,1,5,5,5,0.3486470782
2,0.3,0.3,1,9,9,5,0.2906520779
2,0.93771,0.91472,10.13,6.82,8.03,5.29,0.3426618282
5,0.1,0.6,1,6,1,5,0.4198490284
2,0.1,0.3,1,5,5,5,0.3336626553
10,0.1,0.6,6,1,1,5,0.4367078338
2,0.7,0.5,1,9,9,5,0.2862480469
2,0.72574,0.40678,3.66,8.26,6.22,10.2,0.3061218946
2,0.1,0.1,1,5,1,5,0.3382008557
2,0.1,0.3,1,1,9,5,0.3171637995
2,0.9,0.9,1,5,1,5,0.3379051685
2,0.3,0.3,1,7,9,5,0.2899114952
2,0.37177,0.91578,8.44,4.19,9.83,7.37,0.3437504408
2,0.7,0.9,1,7,7,5,0.3008468606
5,0.59578,0.77156,7.55,10.81,4.19,3.41,0.6056239198
2,0.3,0.7,1,3,7,5,0.3169757681
2,0.7,0.7,1,9,5,5,0.3011012551
2,0.3,0.3,1,7,7,5,0.2930764509
21,0.1,1,1,1,100,1,0.7204112435
2,0.3,0.3,1,7,7,5,0.2959465877
2,0.7,0.7,1,3,3,5,0.3070941347
2,0.1,0.1,1,9,1,5,0.3389134356
5,0.80108,0.4398,6.74,9.54,2.5,1.41,0.5710208051
2,0.5,0.1,1,9,7,5,0.2772982394
2,0.9,0.3,1,1,5,5,0.2650341085
10,0.2,0.4,2,4,2,5,0.6938766923
2,0.1,0.1,1,5,7,5,0.2935164975
2,0.7,0.9,1,3,5,5,0.3049407621
2,0.9,0.7,1,9,1,5,0.3295566697
2,0.5,0.9,1,9,7,5,0.3105769874
10,0.11755,0.90468,1.87,3.37,3.64,4,0.5169214135
21,0.5,0.375,6,2.8,5.5,9,0.4473545912
2,0.5,0.5,1,1,7,5,0.2849305909
2,0.5,0.1,1,1,1,5,0.27684905
5,0.1,0.6,1,1,1,5,0.4268424685
2,0.9,0.1,1,7,5,5,0.2737732464
2,0.7,0.5,1,1,7,5,0.276520929
2,0.5,0.1,1,7,7,5,0.2750176674
2,0.1,0.9,1,1,9,5,0.3511436285
2,0.1,0.5,1,3,9,5,0.3375359936
2,0.5,0.1,1,5,3,5,0.2764296983
2,0.1,0.9,1,7,3,5,0.3460432533
2,0.3,0.9,1,7,3,5,0.345135686
2,0.1,0.5,1,9,5,5,0.3491592011
2,0.3,0.1,1,1,3,5,0.2707757428
2,0.56554,0.46318,1.97,1.01,6.37,8.67,0.2842424245
2,0.1,0.3,1,5,1,5,0.3526045278
2,0.1,0.9,1,9,1,5,0.3140472652
21,0.5,0.375,4,2.8,5.5,6,0.4582006235
2,0.5,0.1,1,7,9,5,0.2736116062
2,0.5,0.7,1,1,7,5,0.2951064197
2,0.43133,0.44246,4.65,5.68,4.75,9.69,0.3216821569
2,0.7,0.1,1,7,9,5,0.2723671034
2,0.7,0.1,1,7,9,5,0.2737709618
2,0.7,0.7,1,9,1,5,0.3393112016
2,0.7,0.3,1,7,3,5,0.2898269202
2,0.9,0.9,1,9,1,5,0.3383766254
2,0.5,0.5,1,3,1,5,0.3366198063
2,0.3,0.1,1,3,1,5,0.2990529664
2,0.9,0.7,1,1,1,5,0.3230748817
2,0.5,0.1,1,9,5,5,0.2778955684
2,0.3,0.5,1,7,7,5,0.3075524044
2,0.3,0.9,1,5,9,5,0.3215068201
2,0.7,0.1,1,5,1,5,0.282796989
2,0.9,0.1,1,9,7,5,0.2767069072
2,0.9,0.3,1,9,9,5,0.2791891748
2,0.9,0.1,1,7,9,5,0.27207548
2,0.1,0.3,1,9,3,5,0.3459329409
2,0.7,0.3,1,7,7,5,0.2811509634
2,0.5,0.7,1,5,9,5,0.2976978576
2,0.7,0.9,1,3,7,5,0.2980509655
2,0.3,0.3,1,3,5,5,0.2957986459
5,0.2,0.4,2,2,4,5,0.4643521195
15,0.6,0.6,1,1,6,5,0.1834304661
2,0.1,0.1,1,1,7,5,0.2845784168
5,0.1,0.6,6,1,1,5,0.4386121632
2,0.1,0.7,1,7,9,5,0.346969826
2,0.9,0.1,1,5,7,5,0.2688353996
2,0.7,0.1,1,5,1,5,0.2827483411
2,0.7,0.7,1,1,1,5,0.3333704404
2,0.5,0.7,1,7,5,5,0.3089904357
2,0.9,0.7,1,5,1,5,0.3296598165
2,0.5,0.5,1,9,3,5,0.3120867766
2,0.1,0.3,1,5,5,5,0.3343619041
10,0.1,0.6,1,1,1,5,0.4411676298
15,0.96492,0.91642,5.43,4.66,10.81,6.65,0.4427059795
2,0.3,0.7,1,5,3,5,0.3382988936
2,0.9,0.1,1,1,1,5,0.265430139
15,0.84304,0.64647,2.95,2.29,3.63,4,0.2621932402
2,0.5,0.7,1,7,7,5,0.302502596
2,0.2124,0.10364,2.79,4.71,2.15,2,0.3294846191
2,0.5,0.7,1,9,3,5,0.322371106
2,0.42971,0.49516,2.19,8.17,2.91,8.23,0.3259264706
2,0.3,0.3,1,5,5,5,0.2990674036
2,0.9,0.1,1,9,5,5,0.277510806
10,0.4,0.2,4,4,4,5,0.4771736593
5,0.6,0.6,6,1,6,5,0.2769172079
21,0.1,1,1,100,100,10,0.460944157
2,0.3,0.3,1,7,3,5,0.3105943382
2,0.1,0.7,1,3,5,5,0.3531884951
2,0.1,0.7,1,9,3,5,0.3517403708
2,0.28614,0.73218,9.75,10.44,4.77,1.55,0.3477624582
2,0.1,0.7,1,1,7,5,0.3499587655
2,0.1,0.9,1,5,7,5,0.3533197687
2,0.1,0.5,1,9,7,5,0.3430299654
2,0.3,0.3,1,9,3,5,0.3110278493
2,0.1,0.1,1,7,1,5,0.3390671874
2,0.3,0.1,1,9,5,5,0.2818886313
2,0.1,0.5,1,7,1,5,0.3398500653
20,0.47238,0.68208,10.91,10.45,9.81,6.9,0.8236918269
2,0.7,0.9,1,9,3,5,0.3183226677
2,0.1,0.9,1,5,5,5,0.3530737849
2,0.3,0.7,1,3,3,5,0.3378008
5,0.59671,0.18104,2.38,6.82,7.89,3.72,0.4152211451
2,0.5,0.3,1,5,7,5,0.2824076923
2,0.3,0.3,1,1,9,5,0.2815122039
2,0.3,0.5,1,5,9,5,0.3018436317
2,0.9,0.7,1,5,9,5,0.2845202004
2,0.9,0.9,1,3,1,5,0.3357942922
2,0.5,0.3,1,1,7,5,0.2731726006
2,0.7,0.3,1,5,7,5,0.2784187458
2,0.1,0.7,1,1,5,5,0.3529153572
10,0.6,0.1,6,6,1,5,0.4228911011
5,0.36853,0.79613,7.64,5.55,2.6,5.77,0.5752416111
5,0.2,0.4,4,4,4,5,0.5465205929
2,0.1,0.1,1,7,5,5,0.2990428871
2,0.1318,0.31857,1.34,8.13,6,6.02,0.3316302311
2,0.9,0.5,1,7,7,5,0.2830134524
2,0.9,0.5,1,7,9,5,0.2799187228
2,0.5,0.3,1,5,7,5,0.2814605559
2,0.3,0.1,1,7,9,5,0.2770060288
15,0.6,0.1,6,6,6,5,0.2981394168
21,2,10,0.2,0.2,0.6,1,0.4509178972
2,0.3,0.1,1,1,3,5,0.2712401032
2,0.3,0.3,1,7,1,5,0.3388908969
2,0.5,0.3,1,7,1,5,0.3225545355
2,0.3,0.7,1,3,1,5,0.35342846
25,0.17661,0.85272,10.28,7.98,6.5,1.41,0.6075809461
2,0.5,0.1,1,9,5,5,0.2787008874
2,0.3,0.3,1,1,9,5,0.2806425441
5,0.49587,0.5193,3.94,3.37,1.47,4.04,0.5273340212
2,0.7,0.3,1,7,7,5,0.2799668522
2,0.1,0.1,1,7,5,5,0.2996809225
2,0.7,0.1,1,9,3,5,0.2787588611
2,0.3,0.9,1,9,5,5,0.3350725931
10,0.4,0.4,2,2,2,5,0.5066074625
2,0.5,0.5,1,5,7,5,0.2923412383
2,0.3,0.1,1,5,5,5,0.2777891325
15,0.6,0.1,6,1,6,5,0.05129666618
5,0.2,0.2,2,2,4,5,0.3396377548
2,0.7,0.7,1,7,9,5,0.2905651135
2,0.3,0.1,1,5,3,5,0.2825250825
20,0.57083,0.53929,1.13,4.47,2.46,2,0.2127998602
2,0.7,0.9,1,1,1,5,0.3413137152
2,0.1,0.1,1,9,9,5,0.2908468403
20,0.71581,0.3662,5.12,8.67,4.63,4.89,0.6865492441
2,0.3,0.1,1,7,5,5,0.2802377759
21,0.5,0.375,7,2.8,5.5,9,0.4874385935
2,0.7,0.3,1,3,3,5,0.2831793395
2,0.5,0.7,1,9,1,5,0.347566974
2,0.3,0.1,1,1,5,5,0.2652148795
2,0.1,0.1,1,1,5,5,0.2909510643
5,0.4,0.2,4,2,4,5,0.3028850707
15,0.2,0.2,4,4,4,5,0.671761596
2,0.9,0.3,1,3,9,5,0.2697662236
2,0.3,0.1,1,7,3,5,0.2845331291
2,0.7,0.1,1,5,9,5,0.2691632362
2,0.9,0.7,1,7,7,5,0.2878340511
2,0.7,0.9,1,7,9,5,0.2954445473
15,0.1,0.1,1,1,1,5,0.6024270846
2,0.7,0.5,1,7,5,5,0.2908393125
2,0.3,0.1,1,9,3,5,0.2864134207
2,0.9,0.1,1,3,9,5,0.2623293149
2,0.7,0.3,1,5,1,5,0.3099342148
21,0.1,1,1,100,100,100,0.209005527
21,2,6,0.2,0.6,1,1,0.5044190629
10,0.6,0.6,6,6,1,5,0.5764055713
5,0.57103,0.84821,8.26,1.62,1.12,9.49,0.536128801
2,0.7,0.3,1,7,5,5,0.2819479012
2,0.9,0.1,1,1,5,5,0.254455187
2,0.9,0.9,1,3,9,5,0.2861751225
2,0.79332,0.56808,8.21,10.22,9.28,2.26,0.3472722534
2,0.9,0.7,1,1,7,5,0.2774391888
2,0.7,0.3,1,9,7,5,0.2808006924
2,0.1,0.3,1,3,9,5,0.3205313579
25,0.99049,0.29117,3.02,3.87,4.2,1,0.06182860481
2,0.5,0.9,1,9,3,5,0.3307049706
2,0.9,0.7,1,3,5,5,0.2884653106
2,0.3,0.7,1,7,1,5,0.3535098595
2,0.1,0.1,1,7,7,5,0.2937387387
2,0.9,0.1,1,1,9,5,0.2527818446
